text,label
python machine learning scikit-learn pandas numpy data analysis statistics regression classification clustering model evaluation feature engineering jupyter notebook,Data Scientist
deep learning neural networks tensorflow pytorch gpu cuda backpropagation cnn rnn lstm transformer bert nlp computer vision image classification,AI Engineer
django flask fastapi rest api postgresql redis celery microservices docker linux backend server authentication authorization jwt,Backend Developer
react angular vue typescript javascript html css responsive design frontend ui ux figma webpack redux state management,Frontend Developer
aws gcp azure docker kubernetes terraform ansible ci cd devops github actions jenkins monitoring prometheus grafana linux bash,DevOps Engineer
sql tableau power bi looker data visualisation excel pivot reporting dashboards kpi business intelligence data warehousing,Data Analyst
spark hadoop kafka airflow dbt data pipeline etl data lake warehouse big data distributed systems scala python,Data Engineer
flutter react native android ios swift kotlin mobile app firebase push notifications xcode android studio,Mobile Developer
penetration testing vulnerability assessment owasp burp suite nmap kali linux security audit firewall ssl tls,Security Engineer
product roadmap stakeholder agile scrum sprint backlog user stories jira confluence roadmap prioritisation okr,Product Manager
